Date,Home Team,Away Team,Home Score,Away Score
2025-04-05T20:05:00Z,Pittsburgh Pirates,New York Yankees,4,10
2025-04-05T20:10:00Z,Kansas City Royals,Baltimore Orioles,1,8
2025-04-05T23:05:00Z,Texas Rangers,Tampa Bay Rays,6,4
2025-04-05T23:10:00Z,New York Mets,Toronto Blue Jays,3,2
2025-04-05T23:10:00Z,Milwaukee Brewers,Cincinnati Reds,7,11
2025-04-05T23:15:00Z,Atlanta Braves,Miami Marlins,0,4
2025-04-06T00:10:00Z,Colorado Rockies,Athletics,4,7
2025-04-06T01:05:00Z,San Francisco Giants,Seattle Mariners,4,1
2025-04-06T01:38:00Z,Los Angeles Angels,Cleveland Guardians,10,4
2025-04-06T17:35:00Z,Washington Nationals,Arizona Diamondbacks,5,4
2025-04-06T17:35:00Z,Boston Red Sox,St. Louis Cardinals,5,4
2025-04-06T23:10:00Z,Boston Red Sox,St. Louis Cardinals,18,7
2025-04-06T17:35:00Z,Philadelphia Phillies,Los Angeles Dodgers,8,7
2025-04-06T17:35:00Z,Pittsburgh Pirates,New York Yankees,5,4
2025-04-06T17:40:00Z,New York Mets,Toronto Blue Jays,2,1
2025-04-06T17:40:00Z,Detroit Tigers,Chicago White Sox,4,3
2025-04-06T18:10:00Z,Kansas City Royals,Baltimore Orioles,4,1
2025-04-06T18:10:00Z,Minnesota Twins,Houston Astros,7,9
2025-04-06T18:10:00Z,Milwaukee Brewers,Cincinnati Reds,8,2
2025-04-06T18:20:00Z,Chicago Cubs,San Diego Padres,7,8
2025-04-06T18:35:00Z,Texas Rangers,Tampa Bay Rays,4,3
2025-04-06T19:10:00Z,Colorado Rockies,Athletics,12,5
2025-04-06T20:05:00Z,San Francisco Giants,Seattle Mariners,5,4
2025-04-06T20:07:00Z,Los Angeles Angels,Cleveland Guardians,6,2
2025-04-07T19:10:00Z,Detroit Tigers,New York Yankees,6,2
2025-04-07T22:40:00Z,Pittsburgh Pirates,St. Louis Cardinals,8,4
2025-04-07T22:45:00Z,Washington Nationals,Los Angeles Dodgers,6,4
2025-04-07T22:45:00Z,Boston Red Sox,Toronto Blue Jays,2,6
2025-04-07T23:10:00Z,New York Mets,Miami Marlins,2,0
2025-04-07T23:40:00Z,Chicago Cubs,Texas Rangers,7,0
2025-04-07T23:40:00Z,Kansas City Royals,Minnesota Twins,4,2
2025-04-08T01:40:00Z,Arizona Diamondbacks,Baltimore Orioles,1,5
2025-04-08T01:40:00Z,Seattle Mariners,Houston Astros,4,3
2025-04-08T01:45:00Z,San Francisco Giants,Cincinnati Reds,0,2
2025-04-08T02:05:00Z,Athletics,San Diego Padres,4,5
2025-04-08T17:10:00Z,Detroit Tigers,New York Yankees,5,0
2025-04-08T20:10:00Z,Cleveland Guardians,Chicago White Sox,1,0
2025-04-08T20:10:00Z,New York Mets,Miami Marlins,10,5
2025-04-08T22:40:00Z,Pittsburgh Pirates,St. Louis Cardinals,3,5
2025-04-08T22:45:00Z,Washington Nationals,Los Angeles Dodgers,8,2
2025-04-08T22:45:00Z,Boston Red Sox,Toronto Blue Jays,1,6
2025-04-08T23:05:00Z,Tampa Bay Rays,Los Angeles Angels,3,4
2025-04-08T23:15:00Z,Atlanta Braves,Philadelphia Phillies,7,5
2025-04-08T23:40:00Z,Chicago Cubs,Texas Rangers,10,6
2025-04-08T23:40:00Z,Kansas City Royals,Minnesota Twins,2,1
2025-04-09T00:40:00Z,Colorado Rockies,Milwaukee Brewers,1,7
2025-04-09T01:40:00Z,Arizona Diamondbacks,Baltimore Orioles,4,3
2025-04-09T01:40:00Z,Seattle Mariners,Houston Astros,1,2
2025-04-09T01:45:00Z,San Francisco Giants,Cincinnati Reds,0,1
2025-04-09T02:05:00Z,Athletics,San Diego Padres,10,4
2025-04-09T16:35:00Z,Pittsburgh Pirates,St. Louis Cardinals,2,1
2025-04-09T17:10:00Z,New York Mets,Miami Marlins,0,5
